"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","130630091","1","14","ug/m3 LC","60","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/04/2024","AQS","130630091","1","11.6","ug/m3 LC","56","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/07/2024","AQS","130630091","1","3.5","ug/m3 LC","19","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/10/2024","AQS","130630091","1","3.6","ug/m3 LC","20","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/13/2024","AQS","130630091","1","3.3","ug/m3 LC","18","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/16/2024","AQS","130630091","1","6.4","ug/m3 LC","36","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/19/2024","AQS","130630091","1","7.3","ug/m3 LC","41","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/22/2024","AQS","130630091","1","7.1","ug/m3 LC","39","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/25/2024","AQS","130630091","1","3.7","ug/m3 LC","21","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/28/2024","AQS","130630091","1","1.4","ug/m3 LC","8","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"01/31/2024","AQS","130630091","1","5","ug/m3 LC","28","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"02/03/2024","AQS","130630091","1","8.2","ug/m3 LC","46","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"02/06/2024","AQS","130630091","1","8.5","ug/m3 LC","47","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"02/09/2024","AQS","130630091","1","15.7","ug/m3 LC","63","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
"02/12/2024","AQS","130630091","1","2.3","ug/m3 LC","13","Forest Park","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12060","Atlanta-Sandy Springs-Roswell, GA","13","Georgia","063","Clayton","33.6108449850019","-84.390717275216"
